Year-month,hydro_apb2,hydro_apb4,micro_hydro_apb1,micro_hydro_apb2,micro_hydro_apb3,micro_hydro_apb4,micro_hydro_apb5
204711,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204712,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204801,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204802,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204803,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204804,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204805,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204806,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204807,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204808,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204809,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204810,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
204811,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204812,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204901,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204902,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204903,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204904,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204905,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204906,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204907,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204908,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204909,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204910,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
204911,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204912,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
205001,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
205002,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
205003,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
205004,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
205005,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
205006,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
205007,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
205008,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
205009,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
205010,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
205011,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
205012,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
205101,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
205102,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
205103,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
205104,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
205105,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
205106,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
205107,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
205108,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
205109,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
205110,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
205111,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
205112,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
205201,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
205202,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
205203,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
205204,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
205205,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
205206,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
205207,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
